Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA-JY-A6F8,0,0,13.0922,0.2297,2.5266,0,0,0.2297
TCGA-JY-A6FA,0,0,0.7799,0.7799,0,0.26,0.26,0
TCGA-JY-A6FB,0,0,11.7204,0.5717,1.7152,0,0.2859,0
TCGA-JY-A6FD,0,0,1.9849,0.9925,88.9918,0.9925,0,0
TCGA-JY-A6FE,0,0,20.8273,1.5428,0,0,0,0
TCGA-JY-A6FG,0,0,0.4117,406.7936,5.3525,6.5878,0,0
TCGA-JY-A6FH,0,0,4.5567,0.268,15.8145,1.0722,0,0.268
TCGA-JY-A938,0,0,2.1972,0.3662,24.5354,0,0,1.0986
TCGA-JY-A939,0,0,102.0608,0.4907,517.6644,0,0.4907,1.472
TCGA-JY-A93C,0,0,31.617,2.71,4.8178,0.6022,0,5.1189
TCGA-JY-A93D,0,0,10.9916,2.0609,0.3435,0,0,3.0914
TCGA-JY-A93E,0,0,11.115,1.3894,21.8826,2.7787,0,1.7367
TCGA-JY-A93F,0,0,0.4031,1.2093,1.2093,2.8217,0.4031,0
TCGA-KH-A6WC,0,0,0,24.648,0,0,0,0
TCGA-L5-A43C,0,0,64.8987,12.1931,26.3528,2.7533,0,324.4933
TCGA-L5-A43E,0,0,35.3641,1.4006,0,0,0,0
TCGA-L5-A43H,0,0,3.5346,1.4728,0.8837,0.8837,0.8837,0
TCGA-L5-A43I,0,0,3.4621,0.5326,23.968,0,0,0.2663
TCGA-L5-A43J,0,0,0.6154,0,0.3077,5.8462,0.9231,0.6154
TCGA-L5-A43M,0,0,7.5512,3.3225,44.7029,0,0,0
TCGA-L5-A4OE,0,0,3.8857,13.5998,0.8326,4.1632,0,0.2775
TCGA-L5-A4OF,0,2.5774,9346.2206,2.5774,1767.7323,0.1983,0.3965,11.8959
TCGA-L5-A4OG,0,0,2.7495,1.9996,0.4999,1.7497,0,4.2492
TCGA-L5-A4OH,0,0,84.5276,0.2429,135.5356,0,0,0.7287
TCGA-L5-A4OI,0,0,0.3902,2.341,5.0722,0,0,0
TCGA-L5-A4OJ,0,0,12.8138,3.7859,2.621,1.4561,0,1.4561
TCGA-L5-A4OM,0,0,3.3333,1.8182,1.2121,9.0909,0,1.5152
TCGA-L5-A4ON,0,0,108.325,1.7553,2.5075,2.5075,1.003,40.1204
TCGA-L5-A4OO,0,0,1.2579,0.9434,1.5723,0.6289,0,0
TCGA-L5-A4OP,0,0,5.1035,0.8506,24.0998,0,0.2835,0.2835
TCGA-L5-A4OQ,0,1.0938,22233.5003,6.3439,2879.2685,1.3125,1.5313,561.7658
TCGA-L5-A4OR,0,0,28.3949,1.4723,20.6126,1.893,0,1.0517
TCGA-L5-A4OS,0,0,277.7963,3.3389,5711.8531,1.0017,0,3457.7629
TCGA-L5-A4OT,0,0,7.6307,1.0405,2.0811,0.3468,0.6937,0
TCGA-L5-A4OU,0,0,3.1427,0.449,12.5709,20.2032,0,18.4074
TCGA-L5-A4OW,0,0,6.0089,1.5813,1.265,2.2138,0,1.8975
TCGA-L5-A4OX,0,0,1.8697,2.1368,0.2671,0.5342,0,0.2671
TCGA-L5-A88S,0,0,3.4161,68.8921,0,0,0.5694,24.4823
TCGA-L5-A88T,0,0,24.5442,12.6227,62.4123,1.0519,0,1.7532
TCGA-L5-A88V,0,0,4.415,0,0,7.7263,0,2.4834
TCGA-L5-A88W,0,0,0.3036,1.2143,0,0,0,0.9107
TCGA-L5-A88Y,0,0,51.1474,0.9133,4.5667,1.37,0,0.4567
TCGA-L5-A88Z,0,0,0.6283,8.4826,14.1376,0,1.5708,0
TCGA-L5-A891,0,0,1.8355,0,8.0764,3.6711,0,86.6373
TCGA-L5-A893,0,0,12.1471,1.3132,0.3283,0,0,0.3283
TCGA-L5-A8NE,0,0,3.9477,1.822,4.555,330.6955,2.733,1.5183
TCGA-L5-A8NF,0,0,85.3713,1.4229,2.8457,1.4229,0,0.3557
TCGA-L5-A8NG,0,0,25.1256,1.0768,3.5894,5.743,0,18.3058
TCGA-L5-A8NH,0,0,30.6212,1.7498,10.7903,0.5833,0,3.4996
TCGA-L5-A8NI,0,0,57.6066,0,0.2743,0,1.6459,0.823
TCGA-L5-A8NJ,0,0,2.735,0.9117,0,1.3675,0,0
TCGA-L5-A8NK,0,0,1.5785,50.1174,0.7892,15.3904,0.3946,0
TCGA-L5-A8NL,0,0,6.4053,2.5064,7.5193,0.557,0,28.9633
TCGA-L5-A8NM,0,0,1.8189,1.5157,0.3031,0,0.3031,0
TCGA-L5-A8NN,0,153.7488,13249.6046,6.0108,25321.1009,27.8393,2.8472,5212.591
TCGA-L5-A8NQ,0,0,0,8.0925,0,3.4682,0,2.3121
TCGA-L5-A8NR,0,0,0.337,1.3482,0.337,0,0,0
