Cancer,labels,Hybridization.REF,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
PACA-CA,0,PCSI_0351_Pa_P_526,0.140468,0.11607,0.0133557,0.148617,0,0,0
PACA-CA,0,PCSI_0355_Pa_P_526,0,0.147899,0.243489,0.0971805,0.0489291,0,0.0207789
PACA-CA,0,PCSI_0355_Pa_X_526,0,0.0834579,0.285507,0,0,0,0
PACA-CA,0,PCSI_0350_Pa_P_526,0,0.72836,0.774887,0.4711,0,0,0
PACA-CA,0,PCSI_0347_Pa_P_526,2.85056,3.83767,0,21.5601,0.0474541,0.00708131,0.751329
PACA-CA,0,PCSI_0312_Pa_P_526,1.5953,0,0,0.114148,0.0666811,0,0
PACA-CA,0,PCSI_0311_Pa_P_526,1.56869,0.522146,0,4.02498,0,0,0
PACA-CA,0,PCSI_0307_Pa_P,0,0,0.294093,0.983477,0.0845504,0,0
PACA-CA,0,PCSI_0305_Pa_P_526,0,0.22925,0,0.354544,0.0061535,0,0
PACA-CA,0,PCSI_0303_Pa_P_526,1.36401,0,0.0419331,0.869699,0.0451119,0,0
PACA-CA,0,PCSI_0301_Pa_P_526,0.0221147,0.10964,0.0705226,0.257426,0.151974,0,0.0726091
PACA-CA,0,PCSI_0224_Pa_P_526,15.9406,0.330071,0.923933,7.20728,0.0097102,0,0
PACA-CA,0,PCSI_0279_Pa_P,0.226645,0.0376926,0.193621,1.51722,0,0,0
PACA-CA,0,PCSI_0218_Pa_P_526,124.068,0.102379,0.206116,14.083,0,0.0136929,0.795105
PACA-CA,0,PCSI_0164_Pa_P_526,0,0,0,0.0106188,0,0,0
PACA-CA,0,PCSI_0518_Pa_P,30.8717,0.170256,0.436973,27.7645,0.424215,0,0.972971
PACA-CA,0,PCSI_0534_Pa_P_526,0,0,2.43006,0.0414348,0.0601342,0,0.801368
PACA-CA,0,PCSI_0475_Pa_P_526,1.38751,0,0,2.62957,0,0,0
PACA-CA,0,RAMP_0002_Ln_M_526,0.0633047,0.156976,0.0727203,3.19539,0.629114,0,0.0797668
PACA-CA,0,RAMP_0002_Lv_M,92.6347,153.819,49.4199,1212.51,65.5862,0.611303,137.567
PACA-CA,0,RAMP_0002_Pa_P_526,16.6333,0.603695,0.277276,208.793,0,0,6.87891
PACA-CA,0,RAMP_0004_Ln_M_526,0,0,0.0654639,0,0,0,0.805456
PACA-CA,0,RAMP_0004_Lv_M_526,151.133,297.025,74.6492,1051.1,73.1701,0.0991136,171.851
PACA-CA,0,RAMP_0004_Pa_P_526,0,0,0.127445,0,0.300521,0,0
PACA-CA,0,RAMP_0006_Lv_M_526,0.279869,0,0,0.808832,0.122569,0,0
PACA-CA,0,RAMP_0006_Pa_P,0.0299604,0,0.833421,0,1.37232,0,0
PACA-CA,0,RAMP_0007_Lv_M,41.6786,13.3441,6.29034,290.224,14.0542,0.322684,63.8238
PACA-CA,0,RAMP_0007_Pa_P_526,0,0.0890834,0,0,0,0,0
PACA-CA,0,RAMP_0008_Ln_M_526,0,0.0568025,0.0730312,0.0223289,0,0,0
