Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA.CC.A9FS.01A.11R.A37K.07,1,67506.7961,233801.9417,5540.4531,125693.8511,1219.4175,8786.4078,17812.945
TCGA.CC.A9FU.01A.11R.A37K.07,1,3037.9988,219550.2085,7962.835,120252.5313,1632.4002,562.2394,9019.1781
TCGA.CC.A9FV.01A.11R.A37K.07,1,0.6477,16.8394,1.2953,3.886,1.2953,1115.177756,5.1813
TCGA.CC.A9FW.01A.11R.A37K.07,1,4774.5173,155921.5921,10472.6847,304852.9113,1260.3684,692.0399,43678.0433
TCGA.DD.A113.01A.11R.A131.07,1,5749.0476,75743.3333,8703.3333,648640.9524,16.1905,372.381,27715.2381
TCGA.DD.A114.01A.11R.A131.07,1,959.6474,11132.1994,822.8651,27484.5622,963.266,188.8899,1738.3658
TCGA.DD.A115.01A.11R.A131.07,1,13757.0533,92587.7743,8973.3542,233496.0815,3284.4828,3990.5956,9227.2727
TCGA.DD.A116.01A.11R.A131.07,1,34309.1079,209742.535,1394.3983,124203.1428,451.1097,327.2501,4498.7109
TCGA.DD.A118.01A.11R.A131.07,1,23161.0852,299101.738,4534.1246,480058.9233,2.9674,167.4438,16112.7596
TCGA.DD.A119.01A.11R.A131.07,1,50935.9537,486328.8296,16812.7742,315451.1318,17411.4757,2155.4659,21306.8959
TCGA.DD.A11A.01A.11R.A131.07,1,11929.1467,138527.3271,27173.8308,264597.11,37651.973,261.5881,18773.2512
TCGA.DD.A11B.01A.11R.A131.07,1,42033.3714,173375.5409,12230.5334,177334.1002,5059.8923,4176.9319,23003.7644
TCGA.DD.A11C.01A.11R.A131.07,1,62551.9119,225892.743,18714.81,573222.6826,42637.6228,1212.2647,35529.7739
TCGA.DD.A11D.01A.11R.A131.07,1,9415.2637,294282.8283,16615.0393,205542.0875,226.7116,3805.8361,17677.89
TCGA.DD.A1EA.01A.11R.A131.07,1,35014.2207,34269.6246,6716.7235,156481.7975,19277.0193,1945.9613,7259.3857
TCGA.DD.A1EB.01A.11R.A131.07,1,506.3055,192433.4423,19405.2623,128775.3386,1.2455,8155.6905,10228.865
TCGA.DD.A1EC.01A.21R.A131.07,1,7407.2144,1368.3367,13.6273,925459.3186,0.4008,75.3507,46852.1042
TCGA.DD.A1ED.01A.11R.A155.07,1,98038.5528,91311.981,6972.1234,1501632.859,73330.3677,4948.9917,50756.8209
TCGA.DD.A1EE.01A.11R.A131.07,1,43970.247,15746.1073,1829.2175,202294.9519,8169.394,7297.828,23208.5689
TCGA.DD.A1EF.01A.11R.A131.07,1,1212.9784,97608.1531,6921.797,239324.4592,268.7188,1932.6123,5309.4842
TCGA.DD.A1EG.01A.11R.A213.07,1,17429.9541,136046.6559,9220.0025,253897.5059,15884.8492,1719.8164,57944.1618
TCGA.DD.A1EH.01A.11R.A131.07,1,372.9293,268282.4242,440.8081,89773.7374,88.0808,155.1515,4306.6667
TCGA.DD.A1EI.01A.11R.A131.07,1,13395.2826,230150.8743,1963.3998,159506.3034,15602.684,6442.4563,16563.2371
TCGA.DD.A1EJ.01A.11R.A155.07,1,1278.1527,270266.5257,4102.7726,77047.2396,363.6068,8308.3177,2685.7468
TCGA.DD.A1EK.01A.11R.A213.07,1,59528.8703,58567.364,7649.3724,322615.8996,15420.0837,1198.3264,36995.8159
TCGA.DD.A1EL.01A.11R.A155.07,1,36469.6246,13638.2253,4307.5085,63919.4539,2025.256,1903.0717,11801.3652
TCGA.DD.A39V.01A.11R.A213.07,1,52496.3504,160580.1742,743.1128,357619.0252,15385.9195,900.4003,19204.1441
TCGA.DD.A39W.01A.11R.A213.07,1,9600.7157,80339.347,7018.339,5542.2693,5.3675,17.8918,196.8093
TCGA.DD.A39X.01A.11R.A213.07,1,74899.6437,68635.3919,16032.0665,339585.5107,1750.5938,846.7933,35549.8812
TCGA.DD.A39Y.01A.11R.A213.07,1,7069.9955,102848.4173,9050.379,247891.663,1785.5551,839.9465,22300.9362
TCGA.DD.A39Z.01A.11R.A213.07,1,162.0659,577747.106,196.7943,458461.2645,64.114,1393.5886,17284.951
